record_id,manual_id,section_id,section_number,section_title,section_type,change_type,original_text,revised_text,issue_tags,reviewer_summary,label
REV-FAM401-011,FAM-4.01,FAM401-SEC-3.0,3.14,Policies,Procedure,modified,"The Stall Holder shall not install, affix, or construct permanent fixtures in their respective spaces. When improvement or modification is necessary to maintain the brand or insignia of the product, the Stall Holder may secure the consent of the LNU-IGO Management. Installation and construction shall be shouldered by the Stall Holder. Upon termination or end of the contract, the Stall Holder shall restore the leased premises to its original state.",The Stall Holder may modify the stall whenever needed and restore it if possible.,ambiguous_language|missing_approval_step|missing_responsibility|insufficient_detail,"The revision removes the prohibition on permanent fixtures, the requirement for LNU-IGO Management consent, the cost responsibility, and the definite restoration obligation.",Needs Revision
REV-FAM401-012,FAM-4.01,FAM401-SEC-4.1,4.1,Public Bidding of Vacant Stall,Responsibility,modified,Income Generating Office: 1. Posts a Public Bidding Notice in conspicuous places inside the University for seven calendar days. Bidder: 2. Fills up the Bidders Information Sheet. 3. Submits the sheet to the Income Generating Office. Income Generating Office: 4. Gives the Canvas Bid Form. Bidder: 5. Fills up the Canvas Bid Form and tenders the bid. Board of Management or IGO Director: 6. Opens the bid at the scheduled date and time. Income Generating Office: 7. Posts the winner or winners in three conspicuous places in the University premises.,1. The Income Generating Office shall post a public-bidding notice in designated conspicuous locations for seven calendar days and retain evidence of posting. 2. An interested bidder shall complete and submit the Bidders Information Sheet to the Income Generating Office. 3. The Income Generating Office shall issue the Canvas Bid Form to eligible bidders. 4. The bidder shall complete and submit the Canvas Bid Form by the stated deadline. 5. The Board of Management or authorized IGO Director shall open bids at the scheduled date and time and document the result. 6. The Income Generating Office shall post the winning bidder or bidders in three designated conspicuous locations and retain the posting record.,,"The revision maintains the original roles and workflow while clarifying form handoffs and adding evidence for notice posting, bid opening, and results posting.",Appropriate
REV-FAM401-013,FAM-4.01,FAM401-SEC-4.1,4.1,Public Bidding of Vacant Stall,Responsibility,removed,Income Generating Office: 1. Posts a Public Bidding Notice in conspicuous places inside the University for seven calendar days. Bidder: 2. Fills up the Bidders Information Sheet. 3. Submits the sheet to the Income Generating Office. Income Generating Office: 4. Gives the Canvas Bid Form. Bidder: 5. Fills up the Canvas Bid Form and tenders the bid. Board of Management or IGO Director: 6. Opens the bid at the scheduled date and time. Income Generating Office: 7. Posts the winner or winners in three conspicuous places in the University premises.,The Income Generating Office shall post a public-bidding notice. The bidder shall submit a bid. The Board of Management or IGO Director shall open bids.,missing_traceability|missing_record_or_evidence|missing_responsibility|insufficient_detail,"The revision removes the notice duration, Bidders Information Sheet, Canvas Bid Form, results posting, and the evidence needed to trace the bidding process.",Needs Revision
REV-FAM401-014,FAM-4.01,FAM401-SEC-4.2,4.2,Payment of Monthly Rental and Electricity,Procedure,modified,Income Generating Office: 1. Prepares and issues a billing statement for each Stall Holder. Stall Holder: 2. Pays the monthly billing at the Cash Management Office. Cashier Staff: 3. Receives cash for monthly dues. 4. Issues an Official Receipt. Stall Holder: 5. Presents the Official Receipt to IGO Staff. IGO Staff: 6. Records the payment in the ledger. 7. Prepares and issues a Monthly Report on Rentals.,1. The Income Generating Office shall prepare and issue a billing statement for each Stall Holder. 2. The Stall Holder shall pay the billed amount through the Cash Management Office. 3. Cashier Staff shall receive payment and issue an Official Receipt. 4. The Stall Holder shall present the Official Receipt to the IGO Staff. 5. The IGO Staff shall verify the receipt and record the payment in the rental ledger. 6. The IGO Staff shall prepare the Monthly Report on Rentals from the verified ledger entries.,,The revision preserves the actor-to-activity sequence and clarifies receipt verification before ledger entry and monthly reporting.,Appropriate
REV-FAM401-015,FAM-4.01,FAM401-SEC-4.2,4.2,Payment of Monthly Rental and Electricity,Procedure,reordered,Income Generating Office: 1. Prepares and issues a billing statement for each Stall Holder. Stall Holder: 2. Pays the monthly billing at the Cash Management Office. Cashier Staff: 3. Receives cash for monthly dues. 4. Issues an Official Receipt. Stall Holder: 5. Presents the Official Receipt to IGO Staff. IGO Staff: 6. Records the payment in the ledger. 7. Prepares and issues a Monthly Report on Rentals.,1. The Income Generating Office shall prepare and issue a billing statement for each Stall Holder. 2. The IGO Staff shall record the payment in the ledger. 3. The Stall Holder shall pay the monthly billing at the Cash Management Office. 4. Cashier Staff shall receive cash and issue an Official Receipt. 5. The Stall Holder shall present the Official Receipt to the IGO Staff. 6. The IGO Staff shall prepare and issue a Monthly Report on Rentals.,illogical_sequence|missing_record_or_evidence,"The revision records payment before the Stall Holder pays and before the Cashier issues an Official Receipt, which breaks the required payment-verification sequence.",Needs Revision
REV-FAM402-001,FAM-4.02,FAM402-SEC-1.0,1.1-1.2,Objectives,Working Instruction,modified,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.,"1.1 To establish guidelines for planning, approving, implementing, monitoring, and reporting income-generating projects of Leyte Normal University. 1.2 To ensure that applicable policies and procedures for income-generating projects are consistently implemented, monitored, and maintained.",,The revision preserves the original purpose of providing guidelines and ensuring policy implementation while clarifying the activities covered by the manual.,Appropriate
REV-FAM402-002,FAM-4.02,FAM402-SEC-1.0,1.3,Objectives,Working Instruction,added,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained. 1.3 To strengthen accountability and transparency in the management of income-generating projects.,,The added objective is relevant to the management of income-generating projects and states a clear intended outcome.,Appropriate
REV-FAM402-003,FAM-4.02,FAM402-SEC-1.0,1.1-1.2,Objectives,Working Instruction,removed,1.1 To provide guidelines on the income generating projects of LNU. 1.2 To ensure that these guidelines and policies are followed and maintained.,1.1 To earn income for the University.,insufficient_detail|unclear_scope,The revision removes the objective of ensuring that guidelines and policies are followed and narrows the purpose to income generation without describing the required management controls.,Needs Revision
REV-FAM402-004,FAM-4.02,FAM402-SEC-2.0,2,Scope,Working Instruction,modified,"These procedures apply to standards, policies and guidelines on the operations of the Income Generating Office of Leyte Normal University.","These procedures apply to the planning, approval, implementation, procurement planning, delivery of purchases, sales, financial reporting, and disbursement activities of the Income Generating Office of Leyte Normal University.",,The revision remains within the Income Generating Office context and makes the operational coverage of the manual more explicit.,Appropriate
REV-FAM402-005,FAM-4.02,FAM402-SEC-2.0,2,Scope,Working Instruction,modified,"These procedures apply to standards, policies and guidelines on the operations of the Income Generating Office of Leyte Normal University.",This manual applies to all University activities and employees.,unclear_scope|insufficient_detail,"The proposed scope is overly broad and no longer identifies the Income Generating Office or the specific standards, policies, and operational guidelines governed by the manual.",Needs Revision
REV-FAM402-006,FAM-4.02,FAM402-SEC-3.0,3.1-3.4,Policies,Policy,modified,3.1 All items purchased for the Income Generating Office operations shall be inspected before use or sale. 3.2 A Special Order shall be issued to workers before assumption to duty. 3.3 Student laborers shall observe proper limitations as to their assigned tasks. 3.4 All income shall be deposited to the depository bank on the following day.,"3.1 Purchased items intended for Income Generating Office operations shall be inspected and accepted before they are used, released, or sold. 3.2 Workers shall be issued the required Special Order before reporting for duty. 3.3 Student laborers shall perform only tasks within their authorized assignments and applicable limitations. 3.4 The Income Generating Office shall ensure that income collections are recorded and deposited to the authorized depository bank on the next banking day, subject to applicable cash-handling procedures.",,"The revision retains the inspection, work-authorization, student-labor, and income-deposit requirements while clarifying the responsible unit and control activities.",Appropriate
REV-FAM402-007,FAM-4.02,FAM402-SEC-3.0,3.1-3.4,Policies,Policy,modified,3.1 All items purchased for the Income Generating Office operations shall be inspected before use or sale. 3.2 A Special Order shall be issued to workers before assumption to duty. 3.3 Student laborers shall observe proper limitations as to their assigned tasks. 3.4 All income shall be deposited to the depository bank on the following day.,"Items may be used right away, workers can start when needed, and income will be deposited later.",possible_contradiction|missing_approval_step|missing_traceability|insufficient_detail,"The revision weakens or contradicts inspection-before-use, Special Order issuance, authorized student-labor assignments, and next-day income-deposit requirements. It also removes the responsible role and expected documentation.",Needs Revision
REV-FAM402-008,FAM-4.02,FAM402-SEC-3.0,3.5-3.7,Policies,Policy,reordered,3.5 The University President or designated officer shall approve all activities undertaken by the Income Generating Office operation. 3.6 Income Generating Project Proposals shall be reviewed by the Board of Management and approved by the University President and the Board of Regents before the start of any Income Generating Project. 3.7 The Board of Management shall periodically update the University President on Income Generating Office activities.,3.5 Income Generating Project Proposals shall be reviewed by the Board of Management and approved by the University President and the Board of Regents before implementation. 3.6 The University President or designated officer shall approve applicable activities undertaken by the Income Generating Office. 3.7 The Board of Management shall periodically provide documented updates to the University President on Income Generating Office activities.,,"The revision reorganizes the related approval requirements while retaining the Board review, required approvals before implementation, and management-update responsibility.",Appropriate
REV-FAM402-009,FAM-4.02,FAM402-SEC-3.0,3.5-3.7,Policies,Policy,removed,3.5 The University President or designated officer shall approve all activities undertaken by the Income Generating Office operation. 3.6 Income Generating Project Proposals shall be reviewed by the Board of Management and approved by the University President and the Board of Regents before the start of any Income Generating Project. 3.7 The Board of Management shall periodically update the University President on Income Generating Office activities.,3.5 The Income Generating Office may begin projects when resources are available.,missing_approval_step|missing_responsibility|missing_traceability|possible_contradiction,"The revision removes the Board of Management review, approval by the University President and Board of Regents, and periodic reporting requirement. Starting projects based only on resource availability may conflict with the original approval sequence.",Needs Revision
REV-FAM402-010,FAM-4.02,FAM402-SEC-4.1,4.1,Income Generating Office Project Proposal,Responsibility,modified,"Faculty or Personnel prepares a Project Proposal. The IGO Director receives the proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the proposal according to financial status and income-generating capability, then submits a finalized proposal to the University President for approval and recommendation. The University President approves the proposal and submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the proposal.","1. Faculty or Personnel shall prepare and submit a Project Proposal containing the information required for financial and feasibility evaluation. 2. The IGO Director shall receive the proposal, check it for completeness, and submit it to the Board of Management for deliberation. 3. The Board of Management shall evaluate the proposal based on financial status and income-generating capability and document its recommendation. 4. A finalized proposal shall be submitted to the University President for approval and recommendation. 5. The University President shall endorse the approved proposal to the LNU Board of Regents. 6. The LNU Board of Regents shall issue the final approval or disapproval decision before project implementation.",,"The revision preserves the original role assignments and approval path while clarifying handoffs, decision criteria, documented recommendations, and the final decision before implementation.",Appropriate
REV-FAM402-011,FAM-4.02,FAM402-SEC-4.1,4.1,Income Generating Office Project Proposal,Responsibility,reordered,"Faculty or Personnel prepares a Project Proposal. The IGO Director receives the proposal and submits it to the Board of Management for deliberation. The Board of Management deliberates the proposal according to financial status and income-generating capability, then submits a finalized proposal to the University President for approval and recommendation. The University President approves the proposal and submits it to the LNU Board of Regents for approval. The LNU Board of Regents approves or disapproves the proposal.",1. Faculty or Personnel shall prepare a Project Proposal. 2. The LNU Board of Regents shall approve or disapprove the proposal. 3. The IGO Director shall submit the proposal to the Board of Management for deliberation. 4. The University President shall approve the proposal. 5. The Board of Management shall evaluate the proposal.,illogical_sequence|missing_responsibility|missing_approval_step|insufficient_detail,"The revision places the Board of Regents decision before the Board of Management evaluation and University President approval, removes the required handoffs, and creates an illogical approval sequence.",Needs Revision
REV-FAM402-012,FAM-4.02,FAM402-SEC-4.2,4.2,Implementation of the Project,Responsibility,modified,"Supply and Management Staff sends purchased supplies, materials, and office equipment to the Income Generating Office. Income Generating Office Staff receives items, ensures timely and adequate purchase of supplies, prepares periodic reports, and submits reports to the IGO Director. The IGO Director monitors workers and evaluates project performance and profitability based on submitted reports. Income Generating Office Staff prepares billing statements for projects with receivables. The IGO Director signs and submits billing statements to the Accountant. The Accountant prepares Financial Statements and submits them to concerned agencies.","1. Supply and Management Staff shall deliver purchased supplies, materials, and equipment to the Income Generating Office in accordance with the approved request. 2. Income Generating Office Staff shall receive and record delivered items, monitor the adequacy of supplies and equipment, prepare periodic project reports, and submit the reports to the IGO Director. 3. The IGO Director shall monitor daily worker activities and evaluate project performance and profitability using the submitted reports. 4. Income Generating Office Staff shall prepare billing statements for projects with receivables. 5. The IGO Director shall review, sign, and submit billing statements to the Accountant. 6. The Accountant shall prepare the required financial statements and submit them to the appropriate concerned agencies.",,"The revision retains the original delivery, reporting, supervision, billing, and financial-statement responsibilities while clarifying the records and role-to-role handoffs.",Appropriate
REV-FAM402-013,FAM-4.02,FAM402-SEC-4.2,4.2,Implementation of the Project,Responsibility,removed,"Supply and Management Staff sends purchased supplies, materials, and office equipment to the Income Generating Office. Income Generating Office Staff receives items, ensures timely and adequate purchase of supplies, prepares periodic reports, and submits reports to the IGO Director. The IGO Director monitors workers and evaluates project performance and profitability based on submitted reports. Income Generating Office Staff prepares billing statements for projects with receivables. The IGO Director signs and submits billing statements to the Accountant. The Accountant prepares Financial Statements and submits them to concerned agencies.",The Income Generating Office shall manage project activities and prepare reports.,ambiguous_language|missing_responsibility|missing_record_or_evidence|insufficient_detail,"The revision removes supply delivery and receipt controls, monitoring responsibilities, report submission for evaluation, billing preparation and approval, and financial-statement responsibilities.",Needs Revision
REV-FAM402-014,FAM-4.02,FAM402-SEC-4.4,4.4,Delivery of Purchases,Procedure,modified,"Supply and Property Management Staff receives purchased items from the supplier and submits official receipts and purchased items to the Internal Auditor for inspection. The Internal Auditor checks that items meet the correct quality and quantity. The Supply and Property Management Director records capital expenditures and semi-expendable purchases in IGO records. Supply and Property Management Staff releases inspected items to IGO Staff or Director, who receives the items and signs the Requisition and Issue Slip.",1. Supply and Property Management Staff shall receive purchased items from the supplier and submit the items with supporting official receipts to the Internal Auditor for inspection. 2. The Internal Auditor shall inspect the items and document whether the delivered quantity and quality conform to the purchase requirements. 3. The Supply and Property Management Director shall record capital expenditures and semi-expendable item purchases in the applicable IGO records. 4. Only inspected items shall be released by Supply and Property Management Staff to the IGO Staff or Director. 5. The receiving IGO Staff or Director shall acknowledge receipt by signing the Requisition and Issue Slip.,,"The revision maintains receipt, inspection, recording, release, and acknowledgement controls while clarifying that inspection is completed before release and that supporting evidence is retained.",Appropriate
REV-FAM402-015,FAM-4.02,FAM402-SEC-4.4,4.4,Delivery of Purchases,Procedure,removed,"Supply and Property Management Staff receives purchased items from the supplier and submits official receipts and purchased items to the Internal Auditor for inspection. The Internal Auditor checks that items meet the correct quality and quantity. The Supply and Property Management Director records capital expenditures and semi-expendable purchases in IGO records. Supply and Property Management Staff releases inspected items to IGO Staff or Director, who receives the items and signs the Requisition and Issue Slip.",Supplies are delivered to the Income Generating Office after purchase.,missing_responsibility|missing_record_or_evidence|missing_traceability|insufficient_detail,"The revision removes supplier receipt, official receipts, Internal Auditor inspection, quality and quantity verification, expenditure recording, controlled release, and signed acknowledgement through the Requisition and Issue Slip.",Needs Revision
REV-FAM402-016,FAM-4.02,FAM402-SEC-4.5,4.5,Sales,Procedure,modified,"A customer requests an item or service from a Project Worker. The Project Worker fills out a Job Order Form for services or Payment Request Form for merchandise. The customer reviews and signs the form, presents it at the Cash Management Office, and pays the fee. The Cashier receives payment and issues an Official Receipt. The customer presents the Official Receipt and form to the Project Worker, who records the receipt on the form and hands over the item or renders the service.","1. The customer shall request the desired item or service from the Project Worker. 2. The Project Worker shall prepare the applicable Job Order Form or Payment Request Form. 3. The customer shall review and sign the completed form, present it to the Cash Management Office, and pay the required fee. 4. The Cashier shall receive payment and issue an Official Receipt. 5. The customer shall present the Official Receipt and signed form to the Project Worker. 6. The Project Worker shall record the Official Receipt reference on the form before releasing the item or rendering the requested service.",,"The revision preserves the customer, Project Worker, and Cashier responsibilities; maintains the required form and receipt trail; and makes the payment-before-release sequence explicit.",Appropriate
REV-FAM402-017,FAM-4.02,FAM402-SEC-4.5,4.5,Sales,Procedure,reordered,"A customer requests an item or service from a Project Worker. The Project Worker fills out a Job Order Form for services or Payment Request Form for merchandise. The customer reviews and signs the form, presents it at the Cash Management Office, and pays the fee. The Cashier receives payment and issues an Official Receipt. The customer presents the Official Receipt and form to the Project Worker, who records the receipt on the form and hands over the item or renders the service.",1. The customer shall request an item or service. 2. The Project Worker shall hand over the item or render the service. 3. The customer shall complete and sign the Job Order Form or Payment Request Form. 4. The customer shall pay the fee. 5. The Cashier shall issue an Official Receipt. 6. The Project Worker shall record the receipt on the form.,illogical_sequence|missing_record_or_evidence|missing_responsibility,"The revision releases the item or service before the required form is completed, payment is made, and the Official Receipt is issued and recorded, breaking the transaction-control sequence.",Needs Revision
REV-FAM402-018,FAM-4.02,FAM402-SEC-4.6,4.6,IGP Disbursements,Responsibility,modified,"The Accountant refers to FAM 8.02 Disbursements, periodically sorts disbursements by Income Generating Project unit with its income to determine each project's financial performance, prepares and signs an Income Statement per project, and provides a copy to the IGO Director. The IGO Director communicates the Income Statement to each project manager or worker.",1. The Accountant shall process disbursements in accordance with the applicable disbursement procedure. 2. The Accountant shall periodically classify disbursements and income by Income Generating Project unit to determine project financial performance. 3. The Accountant shall prepare and sign an Income Statement for each project and provide a copy to the IGO Director. 4. The IGO Director shall communicate the applicable Income Statement to the concerned project manager or workers for information and performance monitoring.,,"The revision retains the financial-performance purpose, accountant responsibilities, project-level Income Statement, and communication to project personnel while organizing the steps logically.",Appropriate
REV-FAM402-019,FAM-4.02,FAM402-SEC-4.6,4.6,IGP Disbursements,Responsibility,modified,"The Accountant refers to FAM 8.02 Disbursements, periodically sorts disbursements by Income Generating Project unit with its income to determine each project's financial performance, prepares and signs an Income Statement per project, and provides a copy to the IGO Director. The IGO Director communicates the Income Statement to each project manager or worker.",Financial information will be shared with project workers when needed.,ambiguous_language|missing_responsibility|missing_record_or_evidence|insufficient_detail,"The revision does not identify the Accountant, applicable disbursement procedure, project-level classification of income and disbursements, Income Statement preparation and signature, IGO Director, or communication sequence.",Needs Revision
REV-FAM402-020,FAM-4.02,FAM402-SEC-5.0,5.1-5.5,List of Forms,Working Instruction,added,5.1 Thesis or Dissertation Binding Job Order Form. 5.2 Identification Card Job Order Form. 5.3 Garments Payment Request Form. 5.4 Garments Job Order Form. 5.5 Printing Job Order Form.,5.1 Thesis or Dissertation Binding Job Order Form. 5.2 Identification Card Job Order Form. 5.3 Garments Payment Request Form. 5.4 Garments Job Order Form. 5.5 Printing Job Order Form. 5.6 The responsible staff shall use the current approved version of the applicable form and retain completed forms according to the records-control procedure.,,The added instruction is relevant to the listed forms and clarifies use of current approved versions and retention of completed records.,Appropriate
REV-FAM501-001,FAM-5.01,FAM501-SEC-1.0,1.1-1.2,Objectives,Working Instruction,modified,"1.1 To provide guidelines and procedures in monitoring, accounting and reporting of the budget. 1.2 To ensure that proper and adequate monitoring strategies are in place.","1.1 To provide clear guidelines and procedures for monitoring, accounting for, and reporting the University's budget. 1.2 To ensure that adequate monitoring and control strategies are established to support accurate budget reporting and responsible use of funds.",,The revision preserves the original objectives and improves clarity by linking monitoring strategies to budget reporting and responsible financial control.,Appropriate
REV-FAM501-002,FAM-5.01,FAM501-SEC-1.0,1.3,Objectives,Working Instruction,added,"1.1 To provide guidelines and procedures in monitoring, accounting and reporting of the budget. 1.2 To ensure that proper and adequate monitoring strategies are in place.","1.1 To provide guidelines and procedures in monitoring, accounting and reporting of the budget. 1.2 To ensure that proper and adequate monitoring strategies are in place. 1.3 To promote timely recording and review of budget utilization to support informed management decisions.",,The added objective is relevant to budget management and clearly supports the existing monitoring and reporting purpose.,Appropriate
REV-FAM501-003,FAM-5.01,FAM501-SEC-1.0,1.1-1.2,Objectives,Working Instruction,removed,"1.1 To provide guidelines and procedures in monitoring, accounting and reporting of the budget. 1.2 To ensure that proper and adequate monitoring strategies are in place.",1.1 To manage the budget.,ambiguous_language|insufficient_detail,"The revision replaces two specific objectives with a vague statement and removes the monitoring, accounting, reporting, and control purposes of the manual.",Needs Revision
REV-FAM501-004,FAM-5.01,FAM501-SEC-2.0,2,Scope,Working Instruction,modified,"This manual provides standards, policies, guidelines and procedures in monitoring, accounting and reporting of the budget in the financial statements of Leyte Normal University.","This manual applies to the recording, monitoring, accounting, and reporting of budget appropriations, allotments, obligations, utilizations, and disbursements reflected in the financial statements of Leyte Normal University.",,The revision remains within the original budget-management scope and identifies the principal financial activities addressed by the manual.,Appropriate
REV-FAM501-005,FAM-5.01,FAM501-SEC-2.0,2,Scope,Working Instruction,modified,"This manual provides standards, policies, guidelines and procedures in monitoring, accounting and reporting of the budget in the financial statements of Leyte Normal University.",This manual applies to all financial and non-financial activities of the University.,unclear_scope|insufficient_detail,"The proposed scope is overly broad and no longer identifies budget monitoring, accounting, reporting, or the financial statements covered by the manual.",Needs Revision
