change_type,original_text,revised_text,issue_tags,reviewer_summary,label,assessment_label_id,issue_multihot,model_input
modified,5.1 Interview Rating Sheet. 5.2 Applicants Demonstration Form. 5.3 Summary of Ratings. 5.4 CSC Form 33-B Revised 2018.,"The following controlled forms shall be used, as applicable, in recruitment and selection activities: 5.1 Interview Rating Sheet; 5.2 Applicants Demonstration Form; 5.3 Summary of Ratings; and 5.4 CSC Form 33-B Revised 2018. The responsible HRMO personnel shall use current approved versions and retain completed forms with the corresponding selection records.",,The revision preserves the forms list and appropriately clarifies the use of current controlled versions and retention with selection records.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
5.1 Interview Rating Sheet. 5.2 Applicants Demonstration Form. 5.3 Summary of Ratings. 5.4 CSC Form 33-B Revised 2018.

[REVISED TEXT]
The following controlled forms shall be used, as applicable, in recruitment and selection activities: 5.1 Interview Rating Sheet; 5.2 Applicants Demonstration Form; 5.3 Summary of Ratings; and 5.4 CSC Form 33-B Revised 2018. The responsible HRMO personnel shall use current approved versions and retain completed forms with the corresponding selection records."
modified,"The Career and Personnel Development Program seeks to build a professional culture that is competent, efficient, cooperative, interactive, and socialized among employees. The program shall reward exemplary performance and provide remedial action for underperforming employees when necessary.",The program shall reward top performers only.,insufficient_detail|missing_responsibility|missing_traceability,The revision removes the professional-culture goal and the requirement to provide remedial development opportunities for underperforming employees.,Needs Revision,1,"[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
The Career and Personnel Development Program seeks to build a professional culture that is competent, efficient, cooperative, interactive, and socialized among employees. The program shall reward exemplary performance and provide remedial action for underperforming employees when necessary.

[REVISED TEXT]
The program shall reward top performers only."
removed,Income Generating Office: 1. Posts a Public Bidding Notice in conspicuous places inside the University for seven calendar days. Bidder: 2. Fills up the Bidders Information Sheet. 3. Submits the sheet to the Income Generating Office. Income Generating Office: 4. Gives the Canvas Bid Form. Bidder: 5. Fills up the Canvas Bid Form and tenders the bid. Board of Management or IGO Director: 6. Opens the bid at the scheduled date and time. Income Generating Office: 7. Posts the winner or winners in three conspicuous places in the University premises.,The Income Generating Office shall post a public-bidding notice. The bidder shall submit a bid. The Board of Management or IGO Director shall open bids.,missing_traceability|missing_record_or_evidence|missing_responsibility|insufficient_detail,"The revision removes the notice duration, Bidders Information Sheet, Canvas Bid Form, results posting, and the evidence needed to trace the bidding process.",Needs Revision,1,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
Income Generating Office: 1. Posts a Public Bidding Notice in conspicuous places inside the University for seven calendar days. Bidder: 2. Fills up the Bidders Information Sheet. 3. Submits the sheet to the Income Generating Office. Income Generating Office: 4. Gives the Canvas Bid Form. Bidder: 5. Fills up the Canvas Bid Form and tenders the bid. Board of Management or IGO Director: 6. Opens the bid at the scheduled date and time. Income Generating Office: 7. Posts the winner or winners in three conspicuous places in the University premises.

[REVISED TEXT]
The Income Generating Office shall post a public-bidding notice. The bidder shall submit a bid. The Board of Management or IGO Director shall open bids."
reordered,"No employee shall assume position duties without receiving a copy of the appointment from the HRMO after it is signed by the University President. New recruits shall receive orientation on University policies, procedures, rules, and laws. New members shall be provided appropriate tools and training for effective and efficient service.","New recruits shall receive orientation on University policies, procedures, rules, and applicable laws, as well as appropriate tools and training for effective service. An employee shall assume the duties of the position only after the University President has signed the appointment and the HRMO has furnished the employee with a copy.",,"The revision reorders orientation and appointment statements but preserves the signed-appointment prerequisite, orientation, tools, and training requirements.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
No employee shall assume position duties without receiving a copy of the appointment from the HRMO after it is signed by the University President. New recruits shall receive orientation on University policies, procedures, rules, and laws. New members shall be provided appropriate tools and training for effective and efficient service.

[REVISED TEXT]
New recruits shall receive orientation on University policies, procedures, rules, and applicable laws, as well as appropriate tools and training for effective service. An employee shall assume the duties of the position only after the University President has signed the appointment and the HRMO has furnished the employee with a copy."
modified,Curriculum revision shall be conducted at least every four years or as the need arises.,"Curriculum revision shall be reviewed at least every four years or earlier when a documented academic, regulatory, stakeholder, or program need is identified.",,The revision preserves the four-year review period and clarifies that earlier revision should be supported by a documented need.,Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Curriculum revision shall be conducted at least every four years or as the need arises.

[REVISED TEXT]
Curriculum revision shall be reviewed at least every four years or earlier when a documented academic, regulatory, stakeholder, or program need is identified."
modified,Delivery Lead Time has a maximum of 25 points and applies only to Regular External Providers. A score of 0-9 applies to the longest delivery lead time; 10-19 applies to a relatively shorter lead time; and 20-25 applies to the shortest delivery lead time among external providers.,New and Regular External Providers shall receive delivery scores based on whether delivery is fast or slow.,ambiguous_language|missing_traceability|insufficient_detail,The revision changes the applicability to include New Providers without a stated basis and removes the 25-point maximum and the defined comparative thresholds for delivery lead time.,Needs Revision,1,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Delivery Lead Time has a maximum of 25 points and applies only to Regular External Providers. A score of 0-9 applies to the longest delivery lead time; 10-19 applies to a relatively shorter lead time; and 20-25 applies to the shortest delivery lead time among external providers.

[REVISED TEXT]
New and Regular External Providers shall receive delivery scores based on whether delivery is fast or slow."
reordered,"The University President oversees system operation. The PRAISE Committee establishes internal rewards and recognition procedures and strategies. The Search Committee or Director HRM searches, screens, and collects a list of deserving employees from each office. The Performance Management Team identifies potential PRAISE nominees from the collected list. The PRAISE Committee determines top performers who qualify for awards and incentives. The University President rewards deserving employees.",1. The University President shall reward the employee. 2. The PRAISE Committee shall determine top performers. 3. The Performance Management Team shall identify nominees. 4. The Search Committee shall collect nominations. 5. The PRAISE Committee shall establish procedures.,illogical_sequence|missing_approval_step|missing_record_or_evidence,"The revision awards employees before procedures are established, nominations are collected and screened, nominees are identified, and top performers are determined.",Needs Revision,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[CHANGE TYPE]
reordered

[ORIGINAL TEXT]
The University President oversees system operation. The PRAISE Committee establishes internal rewards and recognition procedures and strategies. The Search Committee or Director HRM searches, screens, and collects a list of deserving employees from each office. The Performance Management Team identifies potential PRAISE nominees from the collected list. The PRAISE Committee determines top performers who qualify for awards and incentives. The University President rewards deserving employees.

[REVISED TEXT]
1. The University President shall reward the employee. 2. The PRAISE Committee shall determine top performers. 3. The Performance Management Team shall identify nominees. 4. The Search Committee shall collect nominations. 5. The PRAISE Committee shall establish procedures."
modified,"3.1 Government resources shall be managed, expended, or utilized in accordance with laws and regulations and safeguarded against loss or wastage through illegal or improper disposition. Responsibility for faithful adherence rests directly with the chief or head of the government agency concerned. 3.2 No money shall be paid out of any public treasury or depository except pursuant to an appropriation law or other specific statutory authority. 3.3 All laws and regulations applicable to financial transactions shall be faithfully adhered to.","3.1 Government resources shall be managed, utilized, and safeguarded in accordance with applicable laws and regulations to prevent loss, wastage, and improper disposition. The head of the concerned government agency shall ensure implementation of these controls. 3.2 No public funds shall be disbursed without an appropriation law or other specific statutory authority. 3.3 Personnel involved in financial transactions shall comply with applicable laws, regulations, and authorized financial-control procedures.",,"The revision retains the legal-control principles, responsible authority, restriction on disbursement, and compliance requirement while using clearer and more organized wording.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
3.1 Government resources shall be managed, expended, or utilized in accordance with laws and regulations and safeguarded against loss or wastage through illegal or improper disposition. Responsibility for faithful adherence rests directly with the chief or head of the government agency concerned. 3.2 No money shall be paid out of any public treasury or depository except pursuant to an appropriation law or other specific statutory authority. 3.3 All laws and regulations applicable to financial transactions shall be faithfully adhered to.

[REVISED TEXT]
3.1 Government resources shall be managed, utilized, and safeguarded in accordance with applicable laws and regulations to prevent loss, wastage, and improper disposition. The head of the concerned government agency shall ensure implementation of these controls. 3.2 No public funds shall be disbursed without an appropriation law or other specific statutory authority. 3.3 Personnel involved in financial transactions shall comply with applicable laws, regulations, and authorized financial-control procedures."
modified,"A customer requests an item or service from a Project Worker. The Project Worker fills out a Job Order Form for services or Payment Request Form for merchandise. The customer reviews and signs the form, presents it at the Cash Management Office, and pays the fee. The Cashier receives payment and issues an Official Receipt. The customer presents the Official Receipt and form to the Project Worker, who records the receipt on the form and hands over the item or renders the service.","1. The customer shall request the desired item or service from the Project Worker. 2. The Project Worker shall prepare the applicable Job Order Form or Payment Request Form. 3. The customer shall review and sign the completed form, present it to the Cash Management Office, and pay the required fee. 4. The Cashier shall receive payment and issue an Official Receipt. 5. The customer shall present the Official Receipt and signed form to the Project Worker. 6. The Project Worker shall record the Official Receipt reference on the form before releasing the item or rendering the requested service.",,"The revision preserves the customer, Project Worker, and Cashier responsibilities; maintains the required form and receipt trail; and makes the payment-before-release sequence explicit.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
A customer requests an item or service from a Project Worker. The Project Worker fills out a Job Order Form for services or Payment Request Form for merchandise. The customer reviews and signs the form, presents it at the Cash Management Office, and pays the fee. The Cashier receives payment and issues an Official Receipt. The customer presents the Official Receipt and form to the Project Worker, who records the receipt on the form and hands over the item or renders the service.

[REVISED TEXT]
1. The customer shall request the desired item or service from the Project Worker. 2. The Project Worker shall prepare the applicable Job Order Form or Payment Request Form. 3. The customer shall review and sign the completed form, present it to the Cash Management Office, and pay the required fee. 4. The Cashier shall receive payment and issue an Official Receipt. 5. The customer shall present the Official Receipt and signed form to the Project Worker. 6. The Project Worker shall record the Official Receipt reference on the form before releasing the item or rendering the requested service."
modified,Any records which may contain personal information shall be handled in accordance with Republic Act 10173 or the Data Privacy Act of 2012.,Training and scholarship records may be shared with any requester.,possible_contradiction|missing_approval_step|missing_traceability|insufficient_detail,"The revision removes data-privacy controls and does not identify authorized access, lawful purpose, or safeguards for sharing staff development records.",Needs Revision,1,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Any records which may contain personal information shall be handled in accordance with Republic Act 10173 or the Data Privacy Act of 2012.

[REVISED TEXT]
Training and scholarship records may be shared with any requester."
removed,Recruitment shall follow Civil Service Commission laws and rules stating that government employment opportunities are open to all qualified citizens and that positive efforts shall attract the best qualified applicants. Employees shall be selected based on fitness to perform the duties and responsibilities of the position.,The HRMO may select applicants based on office preference.,possible_contradiction|missing_responsibility|insufficient_detail,The revision removes the open-opportunity and fitness-based requirements and introduces an undefined preference that could undermine merit-based recruitment.,Needs Revision,1,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[CHANGE TYPE]
removed

[ORIGINAL TEXT]
Recruitment shall follow Civil Service Commission laws and rules stating that government employment opportunities are open to all qualified citizens and that positive efforts shall attract the best qualified applicants. Employees shall be selected based on fitness to perform the duties and responsibilities of the position.

[REVISED TEXT]
The HRMO may select applicants based on office preference."
modified,"Accounting Staff-4 receives the official eligible-athlete list from the Sports Director, checks document completeness, and prepares payroll. Accounting Staff-8 forwards the payroll and supporting documents for BURS issuance. The Budget Officer issues and signs the BURS. Accounting Staff-3 prepares the Disbursement Voucher. The VPAF certifies legality, the Accountant certifies cash availability and completeness, the University President approves payment, and the Cash Management Office processes and releases the allowance. The student signs the payroll.","1. Accounting Staff-4 shall receive the official eligible-athlete list from the Sports Director, check the completeness and propriety of supporting documents, and prepare the monthly payroll. 2. Accounting Staff-8 shall submit the payroll and supporting documents to the Budget Office for BURS issuance. 3. The Budget Officer shall issue and sign the BURS. 4. Accounting Staff-3 shall prepare the Disbursement Voucher. 5. The VPAF, Accountant, and University President shall complete the required legality, cash-availability, completeness, and approval actions before release. 6. The Cash Management Office shall release the allowance through the authorized payment process and obtain the student's payroll signature as proof of receipt.",,"The revision retains the eligibility list, payroll, BURS, DV, approval, payment, and proof-of-receipt requirements while clarifying the sequence.",Appropriate,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[CHANGE TYPE]
modified

[ORIGINAL TEXT]
Accounting Staff-4 receives the official eligible-athlete list from the Sports Director, checks document completeness, and prepares payroll. Accounting Staff-8 forwards the payroll and supporting documents for BURS issuance. The Budget Officer issues and signs the BURS. Accounting Staff-3 prepares the Disbursement Voucher. The VPAF certifies legality, the Accountant certifies cash availability and completeness, the University President approves payment, and the Cash Management Office processes and releases the allowance. The student signs the payroll.

[REVISED TEXT]
1. Accounting Staff-4 shall receive the official eligible-athlete list from the Sports Director, check the completeness and propriety of supporting documents, and prepare the monthly payroll. 2. Accounting Staff-8 shall submit the payroll and supporting documents to the Budget Office for BURS issuance. 3. The Budget Officer shall issue and sign the BURS. 4. Accounting Staff-3 shall prepare the Disbursement Voucher. 5. The VPAF, Accountant, and University President shall complete the required legality, cash-availability, completeness, and approval actions before release. 6. The Cash Management Office shall release the allowance through the authorized payment process and obtain the student's payroll signature as proof of receipt."
