no,id,document,section,section_type,change_reason,changed_lines,units_edited,your_verdict,your_issues,notes
21,HRM_4.02-9063-3749,HRM 4.02,1.0 OBJECTIVES,Objectives,Corrected a misspelled word.,"-The main objective of the LNU Strategic Performance Management System (SPMS) is directed towards a performance-oriented culture among its faculty adn staff and to increase their understanding as to how their individual outputs count toward achieving the university MFOs and outcomes and in the process, help in achieving national outcomes as to its impact towards improving quality of lives, especially of the poor. Specifically, LNU SPMS will:
+The main objective of the LNU Strategic Performance Management System (SPMS) is directed towards a performance-oriented culture among its faculty and staff and to increase their understanding as to how their individual outputs count toward achieving the university MFOs and outcomes and in the process, help in achieving national outcomes as to its impact towards improving quality of lives, especially of the poor. Specifically, LNU SPMS will:",1,,,
22,FAM_6.01-8976-2922,FAM 6.01,4.4 Releasing of Statement of Account (SOA),Procedures,Updated to match how the office actually works.,"-| Student | 3. Presents the OR to the Accounting Office. |
-| Accounting Staff-4 | 4. Checks teh OR of the student. |
+| Accounting Staff-4 | 3. Presents the OR to the Accounting Office. |
+| Accounting Staff-4 | 4. Checks the OR of the student. |",2,,,
23,FAM_4.01-8942-235,FAM 4.01,4.2 Payment of Monthly Rental & Electricity,Procedures,As discussed.,"+| Stall Holder | 5. Present Official Receipt to the IGO Staff |
-| Stall Holder | 5. Present Official Receipt to the IGO Staff |",2,,,
24,SDM_3.06-9122-2684,SDM 3.06,1.0 OBJECTIVES,Objectives,Revised after the internal audit finding.,"+These procedures apply to all accounts receivable arising from the official transactions of the University such as from the operations of the LNU House, of the LNU Cafeteria, and Inter-Agency transaction with the Commission on Higher Education (CHED) for the implementation of the Free Higher Education, among others.",1,,,
25,FAM_6.03-8999-1194,FAM 6.03,4.0 PROCEDURES,Procedures,Changes requested.,"-| Accounting Staff-5 | 1. Receives original of Report of Collection and Deposits (RCD) with Copy 2 of the Official Receipts (ORs) and validated Deposit Slips (DSs) from the Cash Management Office. |
+| Accounting Staff-5 | 1. Receives original of Report of Collection and Deposits (RCD) with Copy 2 of s (ORs) and validated Deposit Slips (DSs) from the Cash Management Office. |",1,,,
26,FAM_6.01-8977-859,FAM 6.01,4.5 Refund of School Fees,Procedures,Changes requested.,"-| Student | 1. Writes a letter addressed to the University President requesting for a refund of the school fees. The letter should cite the reason/s of the refund such as: dissolution of subjects, non- graduation, discontinuance of review, undelivered garments for the uniform, duplication of payments, etc. The letter should also bear the signature of the student and should be supported with the corresponding official receipt (OR) relative to the school fees to be refunded. |
+| Student | 1. Writes a letter addressed to the University President requesting for a refund of the school fees. The letter should cite the reason/s of the refund such as: dissolution of subjects, non- graduation, discontinuance of review, undelivered garments for the uniform, duplication of payments, etc. The letter should also bear the signature of the student and should be supported with the corresponding relative to the school fees to be refunded. |",1,,,
27,FAM_6.01-8976-832,FAM 6.01,4.4 Releasing of Statement of Account (SOA),Procedures,Aligned with current office practice.,"-| Student | 9. Signs the logbook upon receipt of the SOA. |
+| University President’s Staff | 9. Signs the logbook upon receipt of the SOA. |",1,,,
28,FAM_4.02-8955-2878,FAM 4.02,4.4 Delivery of Purchases,Procedures,Updated to match how the office actually works.,"-| Supply and Property Management Director | 4. Records teh capital expenditures and semi-expendable item purchases in the records of the IGO. |
+| Internal Auditor | 4. Records the capital expenditures and semi-expendable item purchases in the records of the IGO. |",2,,,
29,HRM_4.01-9056-3066,HRM 4.01,4.0 PROCEDURES,Procedures,Updated to match how the office actually works.,"-| Director, HRM | 1. Publishes and disseminates job vacancy announcements and information through newspapers (local and national) posting, bulletin boards, radio, social media platforms, and CSC website, job fair. |
+| Applicant | 1. Publishes and disseminates job vacancy announcements and information through newspapers (local and national) posting, bulletin boards, radio, social media platforms, and CSC website, job fair. |
-| Director, HRM | 7. Prepares documentation review for background/records check Based on merit adn fitness, Eligibility either through CSC or other government examinations or granted by special laws and/or CSC resolutions |
+| Director, HRM | 7. Prepares documentation review for background/records check Based on merit and fitness, Eligibility either through CSC or other government examinations or granted by special laws and/or CSC resolutions |",2,,,
30,FAM_4.02-8950-3174,FAM 4.02,3.0 POLICIES,Policies,Revised after the internal audit finding.,"-3.1 All items purchased for the Income Generating Office operations shall be inspected first before used or sold.
+3.1 Any items purchased for the Income Generating Office operations shall be inspected first before used or sold.",1,,,
31,FAM_8.01-9023-1521,FAM 8.01,4.2 External Provider Evaluation,Procedures,Corrected a misspelled word.,"-| | 2. Forwards results to Supply and Property Officer for review and aproval. |
+| | 2. Forwards results to Supply and Property Officer for review and approval. |",1,,,
32,FAM_8.03_-9039-1767,FAM 8.03 ,4.3 Public Bidding for Consulting Services,Procedures,As discussed.,"-| BAC Secretariat/ Supply Officer | 12. Prepares Notice of Award and Purchase Order to the winning bidder/supplier. |
+| BAC Secretariat/ Supply Officer | 12. Prepares and Purchase Order to the winning bidder/supplier. |",1,,,
33,FAM_6.01-8974-711,FAM 6.01,3.0 POLICIES,Policies,Tidied the spacing to match the rest of the manual.,"-3.2 Any request for information shall be governed by Executive Order No. 02 ,series of 2016 or the Freedom of Information.
+3.2 Any request for information shall be governed by Executive Order No. 02, series of 2016 or the Freedom of Information.",1,,,
34,FAM_8.03_-9038-1724,FAM 8.03 ,4.0 PROCEDURES,Procedures,Revised following the management review.,"-| Division Chief | 3. Recommends approval of the PR. |
+| BAC Secretariat, BAC Members | 3. Recommends approval of the PR. |",1,,,
35,HRM_4.01-9053-1861,HRM 4.01,3.3 Selection,Policies,Fixed spelling flagged in the last document review.,"-3.3.3 There shall be equal employment opportunity adn no discrimination in the selection of employees on account of gender, civil status, disability, religious, ethnicity or political affiliation.
+3.3.3 There shall be equal employment opportunity and no discrimination in the selection of employees on account of gender, civil status, disability, religious, ethnicity or political affiliation.",1,,,
36,FAM_6.02-8988-3186,FAM 6.02,4.0 PROCEDURES,Procedures,Changes requested.,"-| Accounting Staff-4 | 1. Receives the Clearances of the students from the Adviser. |
-| | 2. Checks the ledger of the students for their accountabilities. |
-| | 3. If the student has no accountabilities already, countersigns the Clearance and forwards them to the Accountant. |
-| Accountant | 4. If there are accountabilities, returns the Clearance to the Adviser so as to advise and inform the parents to settle them first. |
-| Adviser | 5. Informs and advises parents/students of their accountabilities to be settled. |
-| Student/parent | 6. Settles accountabilities with the Cash Management Office. Returns the Clearance to the Accountant together with the Official Receipt as proof of payment. |
-| Accountant | 7. If there are no more accountabilities, signs the Clearance. |
-| Accountant | 1. Thirty (30) days after the submission of the Free Higher Education Billing to the Commission on Higher Education (CHED), monitors if the payment has been downloaded already to the account of the University . |
-| | 2. If there is still no payment after 30 days from the submission of the billing, communicates weekly to CHED through e-mail to their official e-mail address ra10931freehe.unifast@ched.gov.ph so as to keep us abreast with the status and comply any deficiencies if there are. Carbon Copies (CC) of the e-mail will also be sent to the University President, VP for Administration and Finance, CAO-Finance, Scholarship Coordinator, and other concerned officials/ offices. |
-| | 3. Complies any deficiencies. |",10,,,
37,FAM_4.02-8949-293,FAM 4.02,2.0 SCOPE,Scope,Corrected a misspelled word.,"-These procedures apply to standards, policies and guidelines on teh operations of the Income Generating Office of Leyte Normal University.
+These procedures apply to standards, policies and guidelines on the operations of the Income Generating Office of Leyte Normal University.",1,,,
38,FAM_6.03-8999-1184,FAM 6.03,4.0 PROCEDURES,Procedures,Separated the two actions so each reads as its own step.,"-| Accounting Staff-5 | 1. Checks completeness of SDs. If complete, acknowledges receipt of RCDisb, returns copy 2 to the Accountable/ Special Disbursing Officer and records the same in the logbook. Otherwise, returns the documents to the Accountable/ Special Disbursing Officer |
+| Accounting Staff-5 | 1. Checks completeness of SDs. If complete, acknowledges receipt of RCDisb, returns copy 2 to the Accountable/ Special Disbursing Officer and records the same in the logbook. |
+| | Otherwise, returns the documents to the Accountable/ Special Disbursing Officer |",2,,,
39,FAM_4.02-8950-308,FAM 4.02,3.0 POLICIES,Policies,Aligned the wording with the rest of the manual.,"-3.10 Any record, which may contain personal information, shall be handled in accordance with R.A. 10173 or the Data Privacy Act of 2012.
+3.10 Any record, which may contain personal information, shall be handled following R.A. 10173 or the Data Privacy Act of 2012.",1,,,
40,FAM_6.04-9014-2983,FAM 6.04,4.0 PROCEDURES,Procedures,Changes requested.,"+| | 11. Adds to the unadjusted balances of accounts “Cash Modified Disbursement System (MDS), Regular and “Cash-Modified Disbursement System (MDS), Trust” the following: (a) NCAs received but not yet recognized by the University; (b) cancelled checks; and (c) errors discovered in the University‘srecords |
-| | 11. Adds to the unadjusted balances of accounts “Cash Modified Disbursement System (MDS), Regular and “Cash-Modified Disbursement System (MDS), Trust” the following: (a) NCAs received but not yet recognized by the University; (b) cancelled checks; and (c) errors discovered in the University‘srecords |",2,,,
41,FAM_4.01-8943-2849,FAM 4.01,4.3 Handling of Complaints,Procedures,Update.,"+| | 5. Issues BOM Resolution stating the result of investigation and corresponding penalties/sanctions,ifany. |
-| | 5. Issues BOM Resolution stating the result of investigation and corresponding penalties/sanctions,ifany. |",2,,,
42,FAM_6.02-8989-1065,FAM 6.02,4.4 Accounts Receivable from Employees,Procedures,Changes requested.,"-| Accounting Staff-7 | 2. Prepares Summary of all the Promissory Notes received from the employees for the payment of school fees of their children including books, for the payment of their own school fees at the Graduate School, among others. The Summary shall include a column if which particular claim of the employee (e.g. midyear bonus, year-end bonus, CNA Incentive, IGP Incentive, Honoraria, etc.) the said the accountability will be charged or deducted from. |
+| Accounting Staff-7 | 2. Prepares Summary of all s received from the employees for the payment of school fees of their children including books, for the payment of their own school fees at the Graduate School, among others. The Summary shall include a column if which particular claim of the employee (e.g. midyear bonus, year-end bonus, CNA Incentive, IGP Incentive, Honoraria, etc.) the said the accountability will be charged or deducted from. |",1,,,
43,FAM_4.02-8956-536,FAM 4.02,4.5 Sales,Procedures,Revised following the management review.,"-| | 4. Presents teh JOF/PRF at the Cash Management Office. |
+| | 4. Presents the JOF/PRF at the Cash Management Office. |
-| Customer | 7. Present the Official Receipt and JOF/PRF to the Project Worker. |
+| Cashier | 7. Present the Official Receipt and JOF/PRF to the Project Worker. |",2,,,
44,FAM_6.02-8989-1048,FAM 6.02,4.4 Accounts Receivable from Employees,Procedures,Fixed spelling flagged in the last document review.,"-| Accounting Staff-2 | 4. Effects teh deduction in the payroll. |
+| Accounting Staff-2 | 4. Effects the deduction in the payroll. |",1,,,
45,SDM_3.01-9100-2414,SDM 3.01,3.3 Serious Offenses,Policies,Revised after the internal audit finding.,-3.3.15 Such other acts as may herein be determined from time to time by the Student Disciplinary Committee.,1,,,
46,FAM_6.04-9012-1314,FAM 6.04,3.6 Recognition of Adjustments,Policies,Updated to match how the office actually works.,"-3.6.1 JEV shall be prepared to recognize all reconciling items that require adjustment and correction in the books of accounts.
+3.6.1 JEV may be prepared to recognize all reconciling items that require adjustment and correction in the books of accounts.",1,,,
47,SDM_3.01-9102-2433,SDM 3.01,3.5 Very Serious Offenses,Policies,Corrected a misspelled word.,"-3.5.1.17 Display, distribution, adn watching of pornographic materials within the University;
+3.5.1.17 Display, distribution, and watching of pornographic materials within the University;",1,,,
48,FAM_6.04-9013-3395,FAM 6.04,3.7 Reporting,Policies,"Expanded the acronym, as the style guide asks.","-3.7.1 Within twenty days after receipt of the monthly BS, submit the BRS to the following:
+3.7.1 Within twenty days after receipt of the monthly Bank Statement (BS), submit the BRS to the following:",1,,,
49,SDM_3.03-9118-2612,SDM 3.03,3.0 POLICIES,Policies,Tidied the spacing to match the rest of the manual.,"-3.2. Before the end of the school year ,randomly-selected students shall be contacted to evaluate the student services provided by the university by answering the Student Satisfaction Feedback Form/Questionnaire.
+3.2. Before the end of the school year, randomly-selected students shall be contacted to evaluate the student services provided by the university by answering the Student Satisfaction Feedback Form/Questionnaire.",1,,,
50,FAM_4.02-8956-3606,FAM 4.02,4.5 Sales,Procedures,Fixed spelling flagged in the last document review.,"-| | 9. Hand over teh purchased items or render the service asked. |
+| | 9. Hand over the purchased items or render the service asked. |",1,,,
