no,id,document,section,section_type,change_reason,changed_lines,units_edited,your_verdict,your_issues,notes
11,FAM_6.03-8996-1136,FAM 6.03,1.0 OBJECTIVES,Objectives,Corrected a misspelled word.,"-1.2 To demonstrate accountability of teh resources entrusted to the University.
+1.2 To demonstrate accountability of the resources entrusted to the University.",1,,,
12,FAM_5.01-8969-3625,FAM 5.01,4.2 Recording Obligation,Procedures,Corrected a misspelled word.,"-| Budget Officer | 2. Receives teh Supporting Documents (SDs) from the Accounting Office Staff including copies of DV/Payroll, Contract/Purchase Order (PO) and other SDs. |
+| Budget Officer | 2. Receives the Supporting Documents (SDs) from the Accounting Office Staff including copies of DV/Payroll, Contract/Purchase Order (PO) and other SDs. |",1,,,
13,HRM_4.01-9050-1810,HRM 4.01,1.0 OBJECTIVES,Objectives,Corrected a misspelled word.,"-1.2 To hire adn deploy competent personnel who meet the qualification standards of the positions, to perform the duties and responsibilities and satisfy the manpower requirements of the university
+1.2 To hire and deploy competent personnel who meet the qualification standards of the positions, to perform the duties and responsibilities and satisfy the manpower requirements of the university",1,,,
14,FAM_8.01-9022-1510,FAM 8.01,4.1 External Provider Accreditation,Procedures,Aligned with current office practice.,+| Accounting Staff-1 or 6 | 5. Prints the JEV in two copies and signs “Prepared by” portion of the JEV. Forwards the JEV to the Accountant for signature. |,1,,,
15,HRM_4.04-9088-2247,HRM 4.04,1.0 OBJECTIVES,Objectives,"Minor formatting correction, no change to the requirement.","-1.5 To encourage ,reward employees individually and in groups for their suggestions, innovative ideas, inventions, discoveries, superior accomplishments, heroic deeds, exemplary behavior, extraordinary acts or services in the public interest and other personal efforts which contribute to the efficiency, economy and improvement in government operations, which lead to organizational productivity
+1.5 To encourage, reward employees individually and in groups for their suggestions, innovative ideas, inventions, discoveries, superior accomplishments, heroic deeds, exemplary behavior, extraordinary acts or services in the public interest and other personal efforts which contribute to the efficiency, economy and improvement in government operations, which lead to organizational productivity",1,,,
16,FAM_4.01-8943-2856,FAM 4.01,4.3 Handling of Complaints,Procedures,Changes requested.,"+| Board of Management | 4. Conducts hearing with the complainant and other concerned parties. |
-| Board of Management | 4. Conducts hearing with the complainant and other concerned parties. |",2,,,
17,FAM_4.01-8943-3286,FAM 4.01,4.3 Handling of Complaints,Procedures,Tidied the spacing to match the rest of the manual.,"-| IGO Director | 2 . Receives the complaint letter and conducts initial investigation |
+| IGO Director | 2. Receives the complaint letter and conducts initial investigation |",1,,,
18,FAM_6.01-8973-3346,FAM 6.01,2.0 SCOPE,Scope,Fixed spelling flagged in the last document review.,"-2.1.2 Releasing of Food Allowance to teh Student Athletes,
+2.1.2 Releasing of Food Allowance to the Student Athletes,",1,,,
19,FAM_6.01-8974-3348,FAM 6.01,3.0 POLICIES,Policies,Corrected a typographical error found during the internal audit.,"-3.5 Student records such as Transfer Credential, Transcript of Records, and Certificate of Good Moral Character should only be released upon full settlement of teh student with his/her accountabilities with the University.
+3.5 Student records such as Transfer Credential, Transcript of Records, and Certificate of Good Moral Character should only be released upon full settlement of the student with his/her accountabilities with the University.",1,,,
20,FAM_6.01-8977-859,FAM 6.01,4.5 Refund of School Fees,Procedures,Updated to match how the office actually works.,"-| Student | 1. Writes a letter addressed to the University President requesting for a refund of the school fees. The letter should cite the reason/s of the refund such as: dissolution of subjects, non- graduation, discontinuance of review, undelivered garments for the uniform, duplication of payments, etc. The letter should also bear the signature of the student and should be supported with the corresponding official receipt (OR) relative to the school fees to be refunded. |
+| Student | 1. Writes a letter addressed to the University President requesting for a refund of the school fees. The letter should cite the reason/s of the refund such as: dissolution of subjects, non- graduation, discontinuance of note, undelivered garments for the uniform, duplication of payments, etc. The letter should also bear the signature of the student and should be supported with the corresponding official receipt (OR) relative to the school fees to be refunded. |",1,,,
21,FAM_4.02-8955-477,FAM 4.02,4.4 Delivery of Purchases,Procedures,Revised following the management review.,+| University President | 4. Signs the resolution and endorses the application to the Board of Regents. |,1,,,
22,HRM_4.03-9082-2145,HRM 4.03,3.0 POLICIES,Policies,Aligned with current office practice.,"-3.1 Any records which may contain personal information shall be handled in accordance with the Republic Act 10173 or the Data Privacy Act of 2012.
+3.1 All records which may contain personal information shall be handled in accordance with the Republic Act 10173 or the Data Privacy Act of 2012.",1,,,
23,FAM_4.02-8950-322,FAM 4.02,3.0 POLICIES,Policies,Revised following the management review.,"-3.6 Income Generating Project Proposal/s shall be reviewed by the Board of Management (BOM) and approved by the University President and the Board of Regents (BOR) before the start of any Income Generating Project.
+3.6 Income Generating Project Proposal/s shall be reviewed by the Board of Management (BOM) and approved by the University President and the Board of Regents (BOR) after the start of any Income Generating Project.",1,,,
24,FAM_4.02-8948-282,FAM 4.02,1.0 OBJECTIVES,Objectives,Revised following the management review.,+0 – three (3) or more deliveries/deliverables were rejected,1,,,
25,FAM_4.02-8950-2864,FAM 4.02,3.0 POLICIES,Policies,Updated to reflect the new collection schedule.,"-3.9 Income Generating Office shall coordinate with all project managers and shall set a deadline for PPMPs to give ample time for them to review, revise and prepare.
+3.9 Income Generating Office shall coordinate with all project managers and shall set a deadline for PPMPs to give ample time for them to approve, revise and prepare.",1,,,
26,FAM_6.04-9010-1275,FAM 6.04,3.4 Method of Bank Reconciliation,Policies,Revised after the internal audit finding.,"-3.4.1 The monthly BRS shall be prepared for each of the bank accounts maintained by the agency/entity using the Adjusted Balance Method. Under this method, the book balance and the bank balance are brought to an adjusted cash balance that must appear on the Statement of Financial Position.
+3.4.1 The monthly BRS shall be prepared for each of the bank accounts maintained by the agency/entity using the Adjusted Balance Method. Under this method, the book balance and the bank balance are brought to an adjusted cash balance that may appear on the Statement of Financial Position.",1,,,
27,FAM_6.01-8978-2934,FAM 6.01,4.6 Signing of Application for Student Records,Procedures,Revised following the management review.,"-| Student | 1. Gives the Application for Student Records. |
+| Accounting Staff-4 | 1. Gives the Application for Student Records. |
-| | 4. Signs teh Application if the student has no financial accountabilities. |
+| | 4. Signs the Application if the student has no financial accountabilities. |",2,,,
28,FAM_6.02-8990-1102,FAM 6.02,4.5 Accounts Receivable from Other Debtors,Procedures,Added a cross-reference after questions from staff.,"-| Records Management Staff | 6. Sends the Demand Letters to the debtors through a courier if necessary. |
+| Records Management Staff | 6. Sends the Demand Letters to the debtors through a courier if necessary (see 3.0 POLICIES). |",1,,,
29,FAM_6.02-8989-1071,FAM 6.02,4.4 Accounts Receivable from Employees,Procedures,Aligned with current office practice.,"-| Accounting Staff-7 | 2. Prepares Summary of all the Promissory Notes received from the employees for the payment of school fees of their children including books, for the payment of their own school fees at the Graduate School, among others. The Summary shall include a column if which particular claim of the employee (e.g. midyear bonus, year-end bonus, CNA Incentive, IGP Incentive, Honoraria, etc.) the said the accountability will be charged or deducted from. |
+| Accounting Staff-7 | 2. Prepares Summary of all the Promissory Notes received from the employees for the payment of school fees of their children excluding books, for the payment of their own school fees at the Graduate School, among others. The Summary shall include a column if which particular claim of the employee (e.g. midyear bonus, year-end bonus, CNA Incentive, IGP Incentive, Honoraria, etc.) the said the accountability will be charged or deducted from. |",1,,,
30,FAM_8.03_-9038-1696,FAM 8.03 ,4.0 PROCEDURES,Procedures,Revised following the management review.,"-| Supply and Property Officer | 9. Records the PR in the logbook/ have it encoded in computer file. |
+| Supply and Property Officer | 9. Records the PR in the logbook/ have it encoded in computer record. |",1,,,
31,FAM_5.01-8966-3333,FAM 5.01,3.0 POLICIES,Policies,Standardised how the issuance is cited.,"-3.4 No obligation shall be certified to accounts payable unless the obligation is founded on a valid claim that is properly supported by sufficient evidence and unless there is proper authority for its incurrence. Any certification for a non-existent or fictitious obligation and/or creditor shall be considered void. The certifying official shall be dismissed from the service, without prejudice to criminal prosecution under the provisions of the Revised Penal Code. Any payment made under such certification shall be illegal and every official authorizing or making such payment, or taking part therein or receiving such payment, shall be jointly and severally liable to government for the full amount so paid or received. (Book VI, Section 41 of EO No. 292)
+3.4 No obligation shall be certified to accounts payable unless the obligation is founded on a valid claim that is properly supported by sufficient evidence and unless there is proper authority for its incurrence. Any certification for a non-existent or fictitious obligation and/or creditor shall be considered void. The certifying official shall be dismissed from the service, without prejudice to criminal prosecution under the provisions of the Revised Penal Code. Any payment made under such certification shall be illegal and every official authorizing or making such payment, or taking part therein or receiving such payment, shall be jointly and severally liable to government for the full amount so paid or received. (Book VI, Section 41 of Executive Order No. 292)",1,,,
32,FAM_6.02-8987-963,FAM 6.02,3.0 POLICIES,Policies,Aligned with current office practice.,"-3.6 Accounts Receivable that are outstanding for more than 365 days or 1 year are considered past due already.
+3.6 Accounts Receivable that are outstanding for more than 730 days or 1 year are considered past due already.",1,,,
33,FAM_4.01-8941-196,FAM 4.01,4.1 Public Bidding of Vacant Stall,Procedures,Updated per the latest memorandum from the VPAF.,+| College Dean | 19. Draws/outlines a professional development plan to improve or correct performance of employees with Unsatisfactory and Poor Performance ratings indicating timeliness and the progress monitored |,1,,,
34,FAM_6.01-8972-683,FAM 6.01,1.0 OBJECTIVE,Objectives,Revised after the internal audit finding.,"+3.15. b That the STALL HOLDER and Food Handlers shall observe proper sanitary preparation in serving of foods and beverages, and there shall be proper refrigeration of foods and beverages;",1,,,
35,FAM_8.01-9020-1467,FAM 8.01,3.2 External Provider Evaluation,Policies,Updated to match how the office actually works.,"+If and when, the Stall Holder failed to comply thereafter, it will be the basis for the termination of the lease contract.",1,,,
36,HRM_4.04-9090-2288,HRM 4.04,3.0 POLICIES,Policies,Aligned with current office practice.,"-3.3 The Program on Awards and Incentives for Service Excellence (PRAISE) shall adhere to the principle of providing incentives and awards based on performance, innovative ideas and exemplary behavior.
+3.3 The Program on Awards and Incentives for Service Excellence (PRAISE) can adhere to the principle of providing incentives and awards based on performance, innovative ideas and exemplary behavior.",1,,,
37,FAM_4.02-8955-465,FAM 4.02,4.4 Delivery of Purchases,Procedures,Updated to reflect the new collection schedule.,"-| Internal Auditor | 3. Inspects or checks purchased items to ensure that they meet the right quality and the correct quantity. |
+| Income Generating Office Staff | 3. Inspects or checks purchased items to ensure that they meet the right quality and the correct quantity. |",1,,,
38,FAM_4.02-8950-3604,FAM 4.02,3.0 POLICIES,Policies,Corrected a misspelled word.,"-3.6 Income Generating Project Proposal/s shall be reviewed by the Board of Management (BOM) adn approved by the University President and the Board of Regents (BOR) before the start of any Income Generating Project.
+3.6 Income Generating Project Proposal/s shall be reviewed by the Board of Management (BOM) and approved by the University President and the Board of Regents (BOR) before the start of any Income Generating Project.",1,,,
39,SDM_3.03-9118-3155,SDM 3.03,3.0 POLICIES,Policies,Updated to match how the office actually works.,"-3.4. Results of the survey shall be submitted to the QMSAS Office and will be disseminated to all offices concerned after it is presented in the Management Review meeting.
+3.4. Results of the survey shall be submitted to the QMSAS Office and will be disseminated to all offices concerned before it is presented in the Management Review meeting.",1,,,
40,SDM_3.01-9102-2459,SDM 3.01,3.5 Very Serious Offenses,Policies,Aligned with current office practice.,"-3.9 The SDC shall be composed of the Dean of the student respondent, VPSD, SSC President, and the security guard/faculty/personnel who filed the complaint. In case the complainant is another student, the dean of the complainant sits as the fifth member.
+3.9 The SDC may be composed of the Dean of the student respondent, VPSD, SSC President, and the security guard/faculty/personnel who filed the complaint. In case the complainant is another student, the dean of the complainant sits as the fifth member.",1,,,
41,HRM_4.03-9082-3752,HRM 4.03,3.0 POLICIES,Policies,Corrected a misspelled word.,"-3.3.5 A portion of teh Agency budget shall be allocated for this purpose (LNU Career & Development Plan) taken from the University income and incorporated in the Agency annual budget estimates for the Fiscal year.
+3.3.5 A portion of the Agency budget shall be allocated for this purpose (LNU Career & Development Plan) taken from the University income and incorporated in the Agency annual budget estimates for the Fiscal year.",1,,,
42,FAM_6.04-9009-1266,FAM 6.04,3.0 POLICIES,Policies,Changes requested.,-3.1 Any records which may contain personal information shall be handled in accordance with Republic Act 10173 or the Data Privacy Act of 2012.,1,,,
43,SDM_3.03-9118-2637,SDM 3.03,3.0 POLICIES,Policies,Revised after the internal audit finding.,"-3.2. Before the end of the school year, randomly-selected students shall be contacted to evaluate the student services provided by the university by answering the Student Satisfaction Feedback Form/Questionnaire.
+3.2. After the end of the school year, randomly-selected students shall be contacted to evaluate the student services provided by the university by answering the Student Satisfaction Feedback Form/Questionnaire.",1,,,
44,FAM_4.02-8956-3318,FAM 4.02,4.5 Sales,Procedures,"Minor formatting correction, no change to the requirement.","-| Customer | 3 . Reviews and signs the JOF/PRF. |
+| Customer | 3. Reviews and signs the JOF/PRF. |",1,,,
45,FAM_8.01-9023-1553,FAM 8.01,4.2 External Provider Evaluation,Procedures,Updated to match how the office actually works.,+| PRAISE Committee | 2. Establishes internal procedures and strategies for rewards and recognition |,1,,,
46,FAM_6.02-8987-2935,FAM 6.02,3.0 POLICIES,Policies,Updated to match how the office actually works.,"-3.5 Credentials and official records of ILS/PLC and Masters/Doctoral students will only be released upon settlement of all their assessed school fees.
+3.5 Credentials and official records of ILS/PLC and Masters/Doctoral students will only be released upon settlement of any their assessed school fees.",1,,,
47,FAM_8.02_Evaluation_of_External_Providers-9032-1615,FAM 8.02 Evaluation of External Providers,4.1 External Provider Evaluation,Procedures,Revised after the internal audit finding.,"-| Supply and Property Officer | 3. Reviews and approves teh EPPE. Once complete, forwards to Purchaser. |
-| Purchaser/Supply and Property Officer | 4. Summarizes the result of evaluation and prepares External Providers Performance Report. |
+| Supply and Property Officer | 3. Reviews and approves the EPPE. Once complete, forwards to Purchaser. |
+| Purchaser | 4. Summarizes the result of evaluation and prepares External Providers Performance Report. |",2,,,
48,HRM_4.02-9066-2056,HRM 4.02,3.12 SPMS Calendar,Policies,Listed the entries in alphabetical order.,"+| Deans | 50% | 25% | 25% |
-| Deans | 50% | 25% | 25% |",2,,,
49,FAM_8.01-9019-3000,FAM 8.01,3.1 External Provider Accreditation,Policies,Revised following the management review.,"-3.1.3.1 Quality of Product/Service based on product sample, demonstration or brochures (10%)
+3.1.3.1 Quality of Product/Service based on product sample, demonstration or brochures (20%)
-0 – offers teh highest price among the external providers
+0 – offers the highest price among the external providers
-3.1.3.3 Delivery Lead Time (10%)
+3.1.3.3 Delivery Lead Time (20%)",3,,,
50,FAM_4.01-8941-3280,FAM 4.01,4.1 Public Bidding of Vacant Stall,Procedures,"Minor formatting correction, no change to the requirement.","-| Board of Management/ IGO Director | 6 . Opens the Bid at the scheduled opening date and time. |
+| Board of Management/ IGO Director | 6. Opens the Bid at the scheduled opening date and time. |",1,,,
